goos: linux
goarch: amd64
pkg: nextgen
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500-16   	10305259	       105.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500-16         	41737855	        28.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500-16                                   	143600690	         8.942 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=5000-16                         	12142477	        85.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=5000-16        	44102580	        28.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=5000-16                                  	134035488	         7.985 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=50000-16                        	14403530	        77.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=50000-16       	48445150	        24.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=50000-16                                 	132112177	         8.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500-16                         	 5641369	       211.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500-16        	15846271	        69.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500-16                                  	 3298252	       414.0 ns/op	      35 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000-16                        	 4926536	       262.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000-16       	20043691	        62.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000-16                                 	 2419962	       476.0 ns/op	      39 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000-16                       	 5566249	       234.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000-16      	21955584	        58.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000-16                                	 2338369	       460.7 ns/op	      42 B/op	       3 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/LockedBuiltinMap/n=500-16           	16411435	        73.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/LockedShardedBuiltinMap/shards=32/n=500-16         	31952031	        38.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/SyncMap/n=500-16                                   	165822753	         8.478 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/LockedBuiltinMap/n=500-16                          	20642926	        58.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/LockedShardedBuiltinMap/shards=32/n=500-16         	20677557	        54.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/SyncMap/n=500-16                                   	134095899	         8.792 ns/op	       1 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/LockedBuiltinMap/n=500-16                         	25483099	        43.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/LockedShardedBuiltinMap/shards=32/n=500-16        	18072975	        63.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/SyncMap/n=500-16                                  	100000000	        11.17 ns/op	       3 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/LockedBuiltinMap/n=500-16                         	23482659	        64.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/LockedShardedBuiltinMap/shards=32/n=500-16        	14907234	        81.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/SyncMap/n=500-16                                  	77877262	        17.01 ns/op	       7 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/LockedBuiltinMap/n=500-16                         	14263087	        72.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/LockedShardedBuiltinMap/shards=32/n=500-16        	 9606140	       108.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/SyncMap/n=500-16                                  	47047376	        25.12 ns/op	      17 B/op	       1 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/LockedBuiltinMap/n=5000-16                         	10244628	       129.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/LockedShardedBuiltinMap/shards=32/n=5000-16        	17665581	        67.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/SyncMap/n=5000-16                                  	100000000	        10.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/LockedBuiltinMap/n=5000-16                         	15210682	        89.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/LockedShardedBuiltinMap/shards=32/n=5000-16        	11040486	        99.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/SyncMap/n=5000-16                                  	95102868	        14.72 ns/op	       1 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/LockedBuiltinMap/n=5000-16                        	12231002	        96.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/LockedShardedBuiltinMap/shards=32/n=5000-16       	14388573	        71.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/SyncMap/n=5000-16                                 	79888932	        14.01 ns/op	       3 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/LockedBuiltinMap/n=5000-16                        	11524498	       100.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/LockedShardedBuiltinMap/shards=32/n=5000-16       	11427607	       105.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/SyncMap/n=5000-16                                 	70286725	        18.77 ns/op	       7 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/LockedBuiltinMap/n=5000-16                        	 8713449	       116.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/LockedShardedBuiltinMap/shards=32/n=5000-16       	10135222	       107.8 ns/op	       0 B/op	       0 allocs/op
