goos: linux
goarch: amd64
pkg: nextgen
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500/keysize=16-16         	27230061	        43.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=16-16         	94710385	        12.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500/keysize=16-16                                   	515023474	         2.373 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500/keysize=32-16                          	26793380	        43.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=32-16         	92575533	        12.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500/keysize=32-16                                   	489141331	         2.445 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500/keysize=64-16                          	26890377	        44.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=64-16         	77197369	        13.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500/keysize=64-16                                   	460879069	         2.658 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500/keysize=128-16                         	26381292	        45.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=128-16        	65832824	        15.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500/keysize=128-16                                  	398760276	         3.012 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500/keysize=256-16                         	26793811	        44.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500/keysize=256-16        	53653664	        22.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500/keysize=256-16                                  	367467732	         3.320 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=5000/keysize=16-16                         	28196737	        43.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=16-16        	95150239	        12.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=5000/keysize=16-16                                  	384178573	         3.094 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=5000/keysize=32-16                         	27730712	        43.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=32-16        	90491314	        12.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=5000/keysize=32-16                                  	383093878	         3.191 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=5000/keysize=64-16                         	28756406	        41.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=64-16        	86164605	        13.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=5000/keysize=64-16                                  	324360361	         3.746 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=5000/keysize=128-16                        	26934356	        44.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=128-16       	72118075	        15.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=5000/keysize=128-16                                 	261611610	         5.673 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=5000/keysize=256-16                        	17683507	        60.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=5000/keysize=256-16       	26970757	        44.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=5000/keysize=256-16                                 	89863377	        12.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=50000/keysize=16-16                        	21887634	        55.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=16-16       	64722405	        19.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=50000/keysize=16-16                                 	106828806	        11.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=50000/keysize=32-16                        	20985103	        65.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=32-16       	51060592	        21.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=50000/keysize=32-16                                 	128005408	        10.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=50000/keysize=64-16                        	20352993	        53.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=64-16       	43650612	        25.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=50000/keysize=64-16                                 	87734889	        11.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=50000/keysize=128-16                       	20002573	        51.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=128-16      	35347126	        29.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=50000/keysize=128-16                                	91255116	        14.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=50000/keysize=256-16                       	18792096	        59.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=50000/keysize=256-16      	25212480	        52.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=50000/keysize=256-16                                	65552461	        18.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=100000/keysize=16-16                       	16801338	        65.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=16-16      	63105487	        18.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=100000/keysize=16-16                                	91353381	        15.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=100000/keysize=32-16                       	23468646	        54.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=32-16      	65707725	        18.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=100000/keysize=32-16                                	68206591	        16.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=100000/keysize=64-16                       	19246310	        69.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=64-16      	59626803	        24.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=100000/keysize=64-16                                	70771425	        20.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=100000/keysize=128-16                      	20816275	        60.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=128-16     	38487670	        41.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=100000/keysize=128-16                               	39416229	        32.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=100000/keysize=256-16                      	20193348	        62.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=256-16     	17140303	        82.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=100000/keysize=256-16                               	36959706	        64.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500000/keysize=16-16                       	20315346	        75.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=16-16      	40389637	        44.15 ns/op	       0 B/op	       0 allocs/op
