goos: linux
goarch: amd64
pkg: nextgen
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=500-16   	14797198	        84.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=500-16         	48733324	        23.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=500-16                                   	300539392	         3.816 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=5000-16                         	15570712	        85.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=5000-16        	40153483	        30.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=5000-16                                  	150141601	         8.557 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedBuiltinMap/n=50000-16                        	13324294	        76.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/LockedShardedBuiltinMap/shards=32/n=50000-16       	34393825	        33.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapReadHeavy/SyncMap/n=50000-16                                 	84907968	        12.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500-16                         	 8002438	       140.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500-16        	 6990307	       221.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500-16                                  	 5214450	       261.0 ns/op	      67 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=5000-16                        	 7535284	       199.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=5000-16       	16357869	        66.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=5000-16                                 	 8916884	       126.1 ns/op	      71 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=50000-16                       	 4067046	       272.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=50000-16      	17562854	        60.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=50000-16                                	19921075	        52.64 ns/op	      72 B/op	       2 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/LockedBuiltinMap/n=500-16           	12148093	        84.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/LockedShardedBuiltinMap/shards=32/n=500-16         	18476283	        60.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/SyncMap/n=500-16                                   	202971063	         6.056 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/LockedBuiltinMap/n=500-16                          	23805090	        58.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/LockedShardedBuiltinMap/shards=32/n=500-16         	13172775	        79.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/SyncMap/n=500-16                                   	137606985	         8.565 ns/op	       3 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/LockedBuiltinMap/n=500-16                         	26072535	        50.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/LockedShardedBuiltinMap/shards=32/n=500-16        	17586068	        90.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/SyncMap/n=500-16                                  	113675259	        10.57 ns/op	       6 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/LockedBuiltinMap/n=500-16                         	22208725	        52.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/LockedShardedBuiltinMap/shards=32/n=500-16        	15490915	        90.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/SyncMap/n=500-16                                  	25697895	        42.60 ns/op	      13 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/LockedBuiltinMap/n=500-16                         	19734996	        71.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/LockedShardedBuiltinMap/shards=32/n=500-16        	10438748	       104.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/SyncMap/n=500-16                                  	37269248	        32.16 ns/op	      33 B/op	       1 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/LockedBuiltinMap/n=5000-16                         	11912734	        98.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/LockedShardedBuiltinMap/shards=32/n=5000-16        	34649506	        48.58 ns/op	       0 B/op	       0 allocs/op
