goos: linux
goarch: amd64
pkg: map_benchmarking
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkBuild/GoSet/dense/contiguous/n=1000-16         	   18164	     69847 ns/op	   38056 B/op	      20 allocs/op
BenchmarkBuild/RoaringSet/dense/contiguous/n=1000-16    	   96151	     14481 ns/op	    6576 B/op	      14 allocs/op
BenchmarkBuild/GoSet/dense/random/n=1000-16             	   16134	     67142 ns/op	   38056 B/op	      20 allocs/op
BenchmarkBuild/RoaringSet/dense/random/n=1000-16        	   32293	     36332 ns/op	    6576 B/op	      14 allocs/op
BenchmarkBuild/GoSet/moderate/contiguous/n=1000-16      	   17782	     77411 ns/op	   38056 B/op	      20 allocs/op
BenchmarkBuild/RoaringSet/moderate/contiguous/n=1000-16 	   90619	     13090 ns/op	    6576 B/op	      14 allocs/op
BenchmarkBuild/GoSet/moderate/random/n=1000-16          	   16654	     70954 ns/op	   38056 B/op	      20 allocs/op
BenchmarkBuild/RoaringSet/moderate/random/n=1000-16     	   32131	     36650 ns/op	    6576 B/op	      14 allocs/op
BenchmarkBuild/GoSet/sparse/contiguous/n=1000-16        	   18438	     64692 ns/op	   38056 B/op	      20 allocs/op
BenchmarkBuild/RoaringSet/sparse/contiguous/n=1000-16   	   97670	     13268 ns/op	    6576 B/op	      14 allocs/op
BenchmarkBuild/GoSet/sparse/random/n=1000-16            	   15624	     71865 ns/op	   38056 B/op	      20 allocs/op
BenchmarkBuild/RoaringSet/sparse/random/n=1000-16       	   39013	     32367 ns/op	    6784 B/op	     112 allocs/op
BenchmarkBuild/GoSet/extreme/contiguous/n=1000-16       	   18802	     73309 ns/op	   38056 B/op	      20 allocs/op
BenchmarkBuild/RoaringSet/extreme/contiguous/n=1000-16  	   89962	     13303 ns/op	    6576 B/op	      14 allocs/op
BenchmarkBuild/GoSet/extreme/random/n=1000-16           	   15919	     71872 ns/op	   38056 B/op	      20 allocs/op
BenchmarkBuild/RoaringSet/extreme/random/n=1000-16      	    4174	    260434 ns/op	   76704 B/op	    2010 allocs/op
BenchmarkBuild/GoSet/dense/contiguous/n=10000-16        	    1867	    593711 ns/op	  304392 B/op	      79 allocs/op
BenchmarkBuild/RoaringSet/dense/contiguous/n=10000-16   	   10555	    118300 ns/op	   33232 B/op	      19 allocs/op
BenchmarkBuild/GoSet/dense/random/n=10000-16            	    1974	    639977 ns/op	  304392 B/op	      79 allocs/op
BenchmarkBuild/RoaringSet/dense/random/n=10000-16       	    2416	    451619 ns/op	   33232 B/op	      19 allocs/op
BenchmarkBuild/GoSet/moderate/contiguous/n=10000-16     	    1930	    645278 ns/op	  304392 B/op	      79 allocs/op
BenchmarkBuild/RoaringSet/moderate/contiguous/n=10000-16         	   10000	    116778 ns/op	   33232 B/op	      19 allocs/op
BenchmarkBuild/GoSet/moderate/random/n=10000-16                  	    1720	    621557 ns/op	  304392 B/op	      79 allocs/op
BenchmarkBuild/RoaringSet/moderate/random/n=10000-16             	    1330	    810991 ns/op	   58240 B/op	      34 allocs/op
BenchmarkBuild/GoSet/sparse/contiguous/n=10000-16                	    1945	    602268 ns/op	  304392 B/op	      79 allocs/op
BenchmarkBuild/RoaringSet/sparse/contiguous/n=10000-16           	    8910	    131352 ns/op	   50048 B/op	      33 allocs/op
BenchmarkBuild/GoSet/sparse/random/n=10000-16                    	    1808	    587925 ns/op	  304393 B/op	      79 allocs/op
