=== Delete Benchmarks (3 impls, dense+moderate, GoSet+RoaringSet sparse+extreme, benchtime=10x) ===
BenchmarkDelete/GoSet/dense/contiguous/n=1000-16         	       1	     16672 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/dense/contiguous/n=1000-16    	       1	     23379 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/BitArraySet/dense/contiguous/n=1000-16   	       1	      1918 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/dense/random/n=1000-16             	       1	     18144 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/dense/random/n=1000-16        	       1	     54203 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/BitArraySet/dense/random/n=1000-16       	       1	      1627 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/moderate/contiguous/n=1000-16      	       1	     16422 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/moderate/contiguous/n=1000-16 	       1	     22291 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/BitArraySet/moderate/contiguous/n=1000-16         	       1	      2012 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/moderate/random/n=1000-16                   	       1	     16190 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/moderate/random/n=1000-16              	       1	     54035 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/BitArraySet/moderate/random/n=1000-16             	       1	      1922 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/sparse/contiguous/n=1000-16                 	       1	     16283 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/sparse/contiguous/n=1000-16            	       1	     41090 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/BitArraySet/sparse/contiguous/n=1000-16           	       1	      1967 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/sparse/random/n=1000-16                     	       1	     19043 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/sparse/random/n=1000-16                	       1	     59863 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/BitArraySet/sparse/random/n=1000-16               	       1	      1841 ns/op	       0 B/op	       0 allocs/op
